Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776765533,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776765534,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776765535,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776765536,20,,Aggregated,0.000000,0.000000,2600,2700,2700,2700,2900,2900,2900,2900,2900,2900,2900,21,0,2600.0,2271.2483727142776,455.99975000004633,2855.81615800038,103.0
1776765537,20,,Aggregated,0.000000,0.000000,2400,2600,2700,2700,2900,3500,3500,3500,3500,3500,3500,31,0,2400.0,2017.4376724193748,455.99975000004633,3469.7462359999918,103.0
1776765538,20,,Aggregated,2.000000,0.000000,1200,2300,2400,2600,2700,2900,3500,3500,3500,3500,3500,58,0,1200.0,1534.7037594655972,389.36042500063195,3469.7462359999918,103.0
1776765539,20,,Aggregated,5.250000,0.000000,1100,1300,2300,2400,2700,2900,3500,3500,3500,3500,3500,80,0,1100.0,1382.9890205375477,389.36042500063195,3469.7462359999918,103.0
1776765540,20,,Aggregated,9.200000,0.000000,960,1100,1200,1400,2600,2700,2900,3500,3500,3500,3500,113,0,960.0,1165.6930938141932,277.61081700009527,3469.7462359999918,103.0
1776765541,20,,Aggregated,10.333333,0.000000,940,1100,1200,1400,2600,2700,2900,3500,3500,3500,3500,131,0,940.0,1131.7071770305358,277.61081700009527,3469.7462359999918,103.0
1776765542,20,,Aggregated,13.571429,0.000000,860,970,1100,1200,2400,2700,2900,3500,3500,3500,3500,167,0,860.0,1018.164690437086,277.61081700009527,3469.7462359999918,103.0
1776765543,20,,Aggregated,14.125000,0.000000,800,960,1100,1100,2300,2700,2900,3500,3500,3500,3500,193,0,800.0,976.8926733522776,277.61081700009527,3469.7462359999918,103.0
1776765544,20,,Aggregated,16.555556,0.000000,750,930,1000,1100,1400,2600,2900,2900,3500,3500,3500,222,0,750.0,929.3895051170682,277.61081700009527,3469.7462359999918,103.0
1776765545,20,,Aggregated,17.500000,0.000000,730,880,970,1000,1400,2600,2700,2900,3500,3500,3500,253,0,730.0,899.0408758892935,277.61081700009527,3469.7462359999918,103.0
1776765546,20,,Aggregated,20.400000,0.000000,680,860,960,1000,1300,2400,2700,2900,3500,3500,3500,284,0,680.0,867.3291504647483,277.61081700009527,3469.7462359999918,103.0
1776765547,20,,Aggregated,23.200000,0.000000,670,800,930,970,1200,2400,2700,2900,3500,3500,3500,311,0,670.0,845.2190202990149,277.61081700009527,3469.7462359999918,103.0
1776765548,20,,Aggregated,25.700000,0.000000,650,780,890,960,1200,2400,2700,2900,3500,3500,3500,346,0,650.0,818.0431595231217,277.61081700009527,3469.7462359999918,103.0
1776765549,20,,Aggregated,27.300000,0.000000,640,760,870,940,1100,2300,2700,2900,3500,3500,3500,382,0,640.0,797.3956161073077,277.61081700009527,3469.7462359999918,103.0
1776765550,20,,Aggregated,27.800000,0.000000,630,750,850,920,1100,1500,2700,2900,3500,3500,3500,412,0,630.0,782.8531694004662,277.61081700009527,3469.7462359999918,103.0
1776765551,20,,Aggregated,30.000000,0.000000,630,730,830,890,1100,1400,2700,2900,3500,3500,3500,438,0,630.0,773.3418168470001,277.61081700009527,3469.7462359999918,103.0
1776765552,20,,Aggregated,29.600000,0.000000,630,720,790,880,1100,1400,2700,2900,3500,3500,3500,475,0,630.0,759.894804842077,277.61081700009527,3469.7462359999918,103.0
1776765553,20,,Aggregated,30.800000,0.000000,620,700,780,860,1000,1400,2600,2700,3500,3500,3500,507,0,620.0,750.2519058500825,277.61081700009527,3469.7462359999918,103.0
1776765554,20,,Aggregated,30.700000,0.000000,620,700,770,850,1000,1400,2600,2700,3500,3500,3500,538,0,620.0,742.6154553178233,277.61081700009527,3469.7462359999918,103.0
1776765555,20,,Aggregated,31.000000,0.000000,620,700,770,840,1000,1300,2600,2700,3500,3500,3500,564,0,620.0,737.1038070283404,277.61081700009527,3469.7462359999918,103.0
1776765556,20,,Aggregated,30.800000,0.000000,620,700,770,840,990,1200,2600,2700,3500,3500,3500,595,0,620.0,733.0452138302302,277.61081700009527,3469.7462359999918,103.0
1776765557,20,,Aggregated,31.500000,0.000000,620,700,770,800,980,1200,2600,2700,3500,3500,3500,627,0,620.0,728.5266176506871,277.61081700009527,3469.7462359999918,103.0
1776765558,20,,Aggregated,31.100000,0.000000,630,710,770,800,970,1200,2600,2700,3500,3500,3500,651,0,630.0,728.0163759968968,277.61081700009527,3469.7462359999918,103.0
1776765559,20,,Aggregated,31.000000,0.000000,630,700,770,800,960,1200,2600,2700,3500,3500,3500,678,0,630.0,723.6034552226829,277.61081700009527,3469.7462359999918,103.0
1776765560,20,,Aggregated,30.800000,0.000000,630,710,760,800,960,1200,2400,2700,3500,3500,3500,707,0,630.0,722.5439906293874,277.61081700009527,3469.7462359999918,103.0
1776765561,20,,Aggregated,29.800000,0.000000,630,710,760,800,960,1100,2400,2700,3500,3500,3500,743,0,630.0,717.1896849353631,232.6187939997908,3469.7462359999918,103.0
1776765562,20,,Aggregated,29.800000,0.000000,640,720,770,810,960,1100,2400,2700,3500,3500,3500,761,0,640.0,720.3122273915596,232.6187939997908,3469.7462359999918,103.0
1776765563,20,,Aggregated,30.100000,0.000000,640,720,760,810,960,1100,2400,2700,3500,3500,3500,794,0,640.0,718.4840964092856,232.6187939997908,3469.7462359999918,103.0
1776765564,20,,Aggregated,28.700000,0.000000,640,720,770,810,960,1100,2400,2700,3500,3500,3500,822,0,640.0,718.5920944513076,232.6187939997908,3469.7462359999918,103.0
1776765565,20,,Aggregated,28.700000,0.000000,640,730,770,810,960,1100,2400,2700,3500,3500,3500,847,0,640.0,718.4371968700948,232.6187939997908,3469.7462359999918,103.0
1776765566,20,,Aggregated,28.900000,0.000000,650,730,770,810,960,1100,2400,2700,3500,3500,3500,876,0,650.0,718.7962006141252,232.6187939997908,3469.7462359999918,103.0
1776765567,20,,Aggregated,28.400000,0.000000,650,740,770,810,950,1100,2400,2700,3500,3500,3500,897,0,650.0,719.7071566253908,232.6187939997908,3469.7462359999918,103.0
1776765568,20,,Aggregated,28.200000,0.000000,660,740,780,820,960,1100,2300,2700,3500,3500,3500,924,0,660.0,721.7950699188013,232.6187939997908,3469.7462359999918,103.0
1776765569,20,,Aggregated,27.400000,0.000000,660,750,790,830,960,1100,2300,2700,3500,3500,3500,942,0,660.0,725.2270359681302,232.6187939997908,3469.7462359999918,103.0
1776765570,20,,Aggregated,27.400000,0.000000,670,750,800,840,960,1100,2300,2700,3500,3500,3500,971,0,670.0,727.7108773398309,232.6187939997908,3469.7462359999918,103.0
1776765571,20,,Aggregated,26.400000,0.000000,670,750,810,840,960,1100,2300,2700,3500,3500,3500,988,0,670.0,728.4572742024037,232.6187939997908,3469.7462359999918,103.0
1776765572,20,,Aggregated,26.200000,0.000000,670,750,810,850,960,1100,1700,2600,3500,3500,3500,1005,0,670.0,733.20520943281,232.6187939997908,3469.7462359999918,103.0
1776765573,20,,Aggregated,25.700000,0.000000,670,760,820,860,970,1100,1700,2600,3500,3500,3500,1031,0,670.0,734.055953982518,232.6187939997908,3469.7462359999918,103.0
1776765574,20,,Aggregated,25.100000,0.000000,670,760,830,860,980,1200,2000,2600,3500,3500,3500,1046,0,670.0,741.8222259837191,232.6187939997908,3469.7462359999918,103.0
1776765575,20,,Aggregated,24.200000,0.000000,680,760,830,870,1000,1200,2000,2600,3500,3500,3500,1073,0,680.0,746.3396736737857,232.6187939997908,3469.7462359999918,103.0
1776765576,20,,Aggregated,23.000000,0.000000,680,760,830,870,1000,1300,1900,2600,3500,3500,3500,1101,0,680.0,745.3560743160549,232.6187939997908,3469.7462359999918,103.0
1776765577,20,,Aggregated,22.300000,0.000000,670,760,830,860,1000,1200,1900,2600,3500,3500,3500,1131,0,670.0,742.8591271688542,232.6187939997908,3469.7462359999918,103.0
1776765578,20,,Aggregated,21.700000,0.000000,670,760,820,860,990,1200,1900,2600,3500,3500,3500,1166,0,670.0,737.2715829176442,176.27344299944525,3469.7462359999918,103.0
1776765579,20,,Aggregated,23.000000,0.000000,660,760,820,850,980,1200,1900,2600,3500,3500,3500,1205,0,660.0,729.4151831891852,176.27344299944525,3469.7462359999918,103.0
1776765580,20,,Aggregated,23.700000,0.000000,660,750,810,850,980,1200,1900,2600,3500,3500,3500,1240,0,660.0,724.3588840282008,176.27344299944525,3469.7462359999918,103.0
1776765581,20,,Aggregated,25.400000,0.000000,660,750,810,850,980,1200,1800,2600,3500,3500,3500,1276,0,650.0,719.6275057484085,176.27344299944525,3469.7462359999918,103.0
1776765582,20,,Aggregated,25.400000,0.000000,660,750,810,840,970,1200,1700,2600,3500,3500,3500,1306,0,650.0,718.0660883246317,176.27344299944525,3469.7462359999918,103.0
1776765583,20,,Aggregated,26.600000,0.000000,650,750,800,840,970,1200,1700,2600,3500,3500,3500,1342,0,650.0,713.79752472278,176.27344299944525,3469.7462359999918,103.0
1776765584,20,,Aggregated,28.600000,0.000000,650,750,800,840,970,1200,1700,2600,3500,3500,3500,1370,0,640.0,710.3866777503404,150.1536779996968,3469.7462359999918,103.0
1776765585,20,,Aggregated,29.900000,0.000000,640,750,800,830,970,1200,1700,2400,3500,3500,3500,1404,0,640.0,707.249704685873,131.74232600067626,3469.7462359999918,103.0
1776765586,20,,Aggregated,31.700000,0.000000,640,750,790,830,960,1100,1700,2400,3500,3500,3500,1443,0,640.0,703.4880215183401,131.74232600067626,3469.7462359999918,103.0
1776765587,20,,Aggregated,33.300000,0.000000,640,740,780,830,960,1100,1700,2400,3500,3500,3500,1470,0,640.0,698.146969650997,131.74232600067626,3469.7462359999918,103.0
1776765588,20,,Aggregated,33.400000,0.000000,640,750,780,830,960,1100,1600,2400,3500,3500,3500,1507,0,640.0,698.7726865069503,98.11354700104857,3469.7462359999918,103.0
1776765589,20,,Aggregated,34.600000,0.000000,640,750,780,830,960,1100,1600,2400,3500,3500,3500,1528,0,640.0,698.4584020084867,98.11354700104857,3469.7462359999918,103.0
1776765590,20,,Aggregated,34.700000,0.000000,640,740,780,820,960,1100,1600,2400,3500,3500,3500,1567,0,640.0,695.7580622156748,98.11354700104857,3469.7462359999918,103.0
1776765591,20,,Aggregated,33.100000,0.000000,640,740,780,820,960,1100,1600,2400,3500,3500,3500,1588,0,640.0,695.2481109949395,57.22616400089464,3469.7462359999918,103.0
1776765592,20,,Aggregated,32.700000,0.000000,640,740,780,820,960,1100,1600,2400,3500,3500,3500,1624,0,640.0,693.6716368318724,57.22616400089464,3469.7462359999918,103.0
1776765593,20,,Aggregated,32.200000,0.000000,640,740,780,830,960,1100,1600,2400,3500,3500,3500,1646,0,640.0,696.0712560358211,57.22616400089464,3469.7462359999918,103.0
1776765594,20,,Aggregated,32.600000,0.000000,640,740,780,830,960,1100,1500,2400,3500,3500,3500,1675,0,640.0,695.3958639462443,57.22616400089464,3469.7462359999918,103.0
1776765595,20,,Aggregated,31.100000,0.000000,640,740,780,830,960,1100,1500,2400,3500,3500,3500,1715,0,640.0,692.4797419375908,57.22616400089464,3469.7462359999918,103.0
1776765596,20,,Aggregated,30.900000,0.000000,640,740,780,830,960,1100,1500,2400,3500,3500,3500,1734,0,640.0,693.155360142425,57.22616400089464,3469.7462359999918,103.0
1776765597,20,,Aggregated,29.300000,0.000000,650,750,790,830,960,1100,1500,2400,3500,3500,3500,1761,0,650.0,694.7462566995862,57.22616400089464,3469.7462359999918,103.0
1776765598,20,,Aggregated,30.800000,0.000000,650,750,790,830,960,1100,1500,2400,3500,3500,3500,1774,0,650.0,696.0841892902895,57.22616400089464,3469.7462359999918,103.0
1776765599,20,,Aggregated,28.000000,0.000000,650,750,790,830,960,1200,1500,2300,3500,3500,3500,1803,0,650.0,698.4320417648232,57.22616400089464,3469.7462359999918,103.0
1776765600,20,,Aggregated,27.100000,0.000000,650,750,790,830,960,1200,1500,2300,3500,3500,3500,1828,0,650.0,697.5059495382775,57.22616400089464,3469.7462359999918,103.0
1776765601,20,,Aggregated,27.800000,0.000000,650,750,800,840,970,1200,1500,2300,3500,3500,3500,1845,0,650.0,700.8421446536411,57.22616400089464,3469.7462359999918,103.0
1776765602,20,,Aggregated,28.400000,0.000000,660,750,800,840,980,1200,1500,2300,3500,3500,3500,1866,0,660.0,705.0961929485367,57.22616400089464,3469.7462359999918,103.0
1776765603,20,,Aggregated,27.000000,0.000000,660,750,810,850,980,1200,1500,2300,3500,3500,3500,1878,0,660.0,708.6393296948711,57.22616400089464,3469.7462359999918,103.0
1776765604,20,,Aggregated,24.800000,0.000000,660,760,810,860,1000,1200,1700,2300,3500,3500,3500,1896,0,660.0,714.9149222721379,57.22616400089464,3469.7462359999918,103.0
1776765605,20,,Aggregated,24.200000,0.000000,660,760,820,860,1000,1200,1600,2300,3500,3500,3500,1917,0,660.0,717.7617050239857,57.22616400089464,3469.7462359999918,103.0
1776765606,20,,Aggregated,22.100000,0.000000,660,760,820,870,1000,1200,1600,2300,3500,3500,3500,1929,0,660.0,720.2975662446779,57.22616400089464,3469.7462359999918,103.0
1776765607,20,,Aggregated,21.900000,0.000000,670,760,830,870,1000,1200,1600,2300,3500,3500,3500,1943,0,670.0,724.395632211005,57.22616400089464,3469.7462359999918,103.0
1776765608,20,,Aggregated,20.200000,0.000000,670,770,830,880,1100,1300,1600,2300,3500,3500,3500,1963,0,670.0,730.4791564416591,57.22616400089464,3469.7462359999918,103.0
1776765609,20,,Aggregated,19.800000,0.000000,670,770,840,890,1100,1400,1600,2300,3500,3500,3500,1981,0,670.0,734.9269704230065,57.22616400089464,3469.7462359999918,103.0
1776765610,20,,Aggregated,18.900000,0.000000,670,770,840,890,1100,1400,1600,2300,3500,3500,3500,1995,0,670.0,737.3630993328177,57.22616400089464,3469.7462359999918,103.0
1776765611,20,,Aggregated,17.600000,0.000000,680,770,850,900,1100,1400,1600,2000,2900,3500,3500,2014,0,680.0,741.2607818952177,57.22616400089464,3469.7462359999918,103.0
1776765612,20,,Aggregated,16.500000,0.000000,680,780,850,910,1100,1400,1600,2000,2900,3500,3500,2030,0,680.0,743.1954549438261,57.22616400089464,3469.7462359999918,103.0
1776765613,20,,Aggregated,15.800000,0.000000,680,780,860,920,1100,1400,1700,2300,2900,3500,3500,2049,0,680.0,747.7883706808046,57.22616400089464,3469.7462359999918,103.0
1776765614,20,,Aggregated,16.000000,0.000000,680,780,860,930,1100,1400,1600,2300,2900,3500,3500,2069,0,680.0,750.251277688725,57.22616400089464,3469.7462359999918,103.0
1776765615,20,,Aggregated,16.400000,0.000000,690,790,870,930,1100,1400,1600,2300,2900,3500,3500,2088,0,690.0,751.6772392566899,57.22616400089464,3469.7462359999918,103.0
1776765616,20,,Aggregated,17.300000,0.000000,690,790,870,930,1100,1400,1600,2000,2900,3500,3500,2106,0,690.0,753.2867164634232,57.22616400089464,3469.7462359999918,103.0
1776765617,20,,Aggregated,17.000000,0.000000,700,800,880,940,1100,1400,1600,2000,2900,3500,3500,2124,0,700.0,756.319353699609,57.22616400089464,3469.7462359999918,103.0
1776765618,20,,Aggregated,17.700000,0.000000,700,810,880,950,1100,1400,1700,2000,2900,3500,3500,2143,0,700.0,760.8411085240167,57.22616400089464,3469.7462359999918,103.0
